"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","DELIV_PER","DELIV_LACS","DATE"
"IDFCFIRSTB","55.8","55.29","32438231","33.11","5937","20210517"
"MUTHOOTFIN","1221.55","1217.57","2017066","23.87","5862","20210517"
"DMART","2898.7","2878.89","449529","44.39","5744","20210517"
"YESBANK","13.35","13.33","95074257","42.17","5344","20210517"
"LALPATHLAB","2751.85","2719.11","569999","27.21","4217","20210517"
"BAJAJFINSV","11249.35","11256.05","318021","11.39","4077","20210517"
"ADANIGREEN","1142.45","1142.45","268800","99.8","3064","20210517"
"IDEA","8.55","8.58","78204978","43.6","2925","20210517"
"TRENT","795.15","799.27","1956412","17.45","2728","20210517"
"JKCEMENT","2754.15","2755.75","87706","93.98","2271","20210517"
"MAHINDCIE","178.5","178.61","1180929","90.74","1913","20210517"
"RELAXO","909.5","916.94","346743","48.46","1540","20210517"
"SUNCLAYLTD","3099.75","3102.56","50865","91.79","1448","20210517"
"NH","446.4","449.45","564258","32.9","834","20210517"
"ICICITECH","257.33","257.35","286908","90.89","671","20210517"
"METROPOLIS","2306.9","2337.11","50517","55.57","656","20210517"
"EBBETF0423","1126.79","1126.01","51104","99.53","572","20210517"
"KOTAKNIFTY","155.68","155.25","126441","92.04","180","20210517"
"EBBETF0430","1155.45","1154.48","14074","90.41","146","20210517"
"TIPSINDLTD","846.7","845.62","16971","91.23","130","20210517"
"HDFCBANK","1476.7","1473.08","11082640","59.92","97825","20210518"
"BHARTIARTL","536.35","540.86","34324460","41.16","76412","20210518"
"AXISBANK","711.65","715.81","19519055","50.35","70348","20210518"
"TATASTEEL","1180.0","1180.26","24573880","21.42","62133","20210518"
"KOTAKBANK","1755.1","1757.0","4658414","72.62","59441","20210518"
"SBIN","382.25","385.07","70917710","20.75","56662","20210518"
"ICICIBANK","633.2","632.48","19242627","44.98","54747","20210518"
"INFY","1340.0","1338.06","5620150","63.23","47551","20210518"
"HDFC","2502.85","2504.55","2844233","58.48","41661","20210518"
"RELIANCE","1987.95","1987.92","5567958","35.07","38821","20210518"
"TATAMOTORS","332.45","331.11","86153088","13.21","37689","20210518"
"BAJFINANCE","5688.75","5639.16","3147883","20.92","37142","20210518"
"TCS","3088.8","3097.13","2098538","55.13","35828","20210518"
"ITC","210.05","211.35","30479551","51.71","33310","20210518"
"HCLTECH","931.6","933.07","5913426","52.54","28991","20210518"
"ATGL","1339.7","1324.54","3914732","55.12","28578","20210518"
"ADANIENT","1326.7","1313.87","6531595","32.6","27979","20210518"
